"Rank","RepoName","RepoUrl","Owner","Language","Stars","CreatedAt","UpdatedAt","Topics","Subdomain","Score","TopicRichness","DescriptionQ","LanguagePresent","StarsScore","RecencyScore","LongevityScore","SignalClarity","SubdomainScore","JunkPenalty","IsJunk","SourceQuery","Description"
"11","kornia/kornia","https://github.com/kornia/kornia","kornia","Python","11192","8/22/2018 10:31:37 AM","5/3/2026 12:36:49 PM","artificial-intelligence;computer-vision;deep-learning;hacktoberfest;image-processing;machine-learning;neural-network;python;pytorch;robotics;spatial-ai","deep-learning","1952.69","1","1","1","0.8098","1","0.8","1","1","0","False","topic:computer-vision language:python stars:>=1000","🐍 Geometric Computer Vision Library for Spatial AI"
"12","voxel51/fiftyone","https://github.com/voxel51/fiftyone","voxel51","Python","10630","4/22/2020 1:43:28 PM","5/2/2026 5:17:51 PM","active-learning;artificial-intelligence;computer-vision;data-centric-ai;data-cleaning;data-curation;data-quality;data-science;deep-learning;developer-tools;image-classification;machine-learning;object-detection;python;unstructured-data;vector-search;visualization","deep-learning","1951.46","1","1","1","0.8053","1","0.8","1","1","0","False","topic:computer-vision language:python stars:>=1000","Refine high-quality datasets and visual AI models"
"13","autogluon/autogluon","https://github.com/autogluon/autogluon","autogluon","Python","10276","7/29/2019 6:51:24 PM","5/3/2026 10:02:42 AM","autogluon;automated-machine-learning;automl;computer-vision;data-science;deep-learning;ensemble-learning;forecasting;gluon;hyperparameter-optimization;machine-learning;natural-language-processing;object-detection;python;pytorch;scikit-learn;structured-data;tabular-data;time-series;transfer-learning","deep-learning","1950.65","1","1","1","0.8024","1","0.8","1","1","0","False","topic:computer-vision language:python stars:>=1000","Fast and Accurate ML in 3 Lines of Code"
"14","xuebinqin/U-2-Net","https://github.com/xuebinqin/U-2-Net","xuebinqin","Python","9724","5/4/2020 5:10:28 PM","5/3/2026 12:46:59 PM","computer-vision;deep-learning;image-background-removal;image-processing;image-segmentation;u-2-net;u2net","deep-learning","1949.33","1","1","1","0.7976","1","0.8","1","1","0","False","topic:computer-vision language:python stars:>=1000","The code for our newly accepted paper in Pattern Recognition 2020: ""U^2-Net: Going Deeper with Nested U-Structure for Salient Object Detection."""
"15","PaddlePaddle/models","https://github.com/PaddlePaddle/models","PaddlePaddle","Python","6943","4/20/2017 1:30:15 PM","5/2/2026 1:34:25 PM","computer-vision;cv;deep-learning;models;natural-language-processing;neural-network;nlp;paddlepaddle;recommendation;speech","deep-learning","1941.29","1","1","1","0.7683","1","0.8","1","1","0","False","topic:computer-vision language:python stars:>=1000","Officially maintained, supported by PaddlePaddle, including CV, NLP, Speech, Rec, TS, big models and so on."
"16","NVIDIA/pix2pixHD","https://github.com/NVIDIA/pix2pixHD","NVIDIA","Python","6931","12/1/2017 7:19:14 PM","5/3/2026 7:03:20 AM","computer-graphics;computer-vision;deep-learning;deep-neural-networks;gan;generative-adversarial-network;image-to-image-translation;pix2pix;pytorch","deep-learning","1941.25","1","1","1","0.7682","1","0.8","1","1","0","False","topic:computer-vision language:python stars:>=1000","Synthesizing and manipulating 2048x1024 images with conditional GANs"
"17","KevinMusgrave/pytorch-metric-learning","https://github.com/KevinMusgrave/pytorch-metric-learning","KevinMusgrave","Python","6321","10/23/2019 5:20:35 PM","5/2/2026 8:58:30 PM","computer-vision;contrastive-learning;deep-learning;deep-metric-learning;embeddings;image-retrieval;machine-learning;metric-learning;pytorch;self-supervised-learning","deep-learning","1939.05","1","1","1","0.7602","1","0.8","1","1","0","False","topic:computer-vision language:python stars:>=1000","The easiest way to use deep metric learning in your application. Modular, flexible, and extensible. Written in PyTorch."
"18","roboflow/supervision","https://github.com/roboflow/supervision","roboflow","Python","38298","11/28/2022 2:08:44 PM","5/3/2026 2:15:30 PM","classification;coco;computer-vision;deep-learning;hacktoberfest;image-processing;instance-segmentation;low-code;machine-learning;metrics;object-detection;oriented-bounding-box;pascal-voc;python;pytorch;tensorflow;tracking;video-processing;yolo","deep-learning","1937.08","1","1","1","0.9166","1","0.6","1","1","0","False","topic:computer-vision language:python stars:>=1000","We write your reusable computer vision tools. 💜"
"19","Layout-Parser/layout-parser","https://github.com/Layout-Parser/layout-parser","Layout-Parser","Python","5729","6/10/2020 8:22:54 PM","5/2/2026 8:41:58 PM","computer-vision;deep-learning;detectron2;document-image-processing;document-layout-analysis;layout-analysis;layout-detection;layout-parser;object-detection;ocr","deep-learning","1936.7","1","1","1","0.7516","1","0.8","1","1","0","False","topic:computer-vision language:python stars:>=1000","A Unified Toolkit for Deep Learning Based Document Image Analysis"
"20","idealo/imagededup","https://github.com/idealo/imagededup","idealo","Python","5624","4/5/2019 12:10:54 PM","5/3/2026 10:00:30 AM","computer-vision;e-commerce;hashing;idealo;image-deduplication;image-preprocessing;neural-network;python;pytorch","deep-learning","1936.26","1","1","1","0.75","1","0.8","1","1","0","False","topic:computer-vision language:python stars:>=1000","😎 Finding duplicate images made easy!"
