"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"jsplumb/community-edition","https://github.com/jsplumb/community-edition","jsplumb","JavaScript","360","False","False","10/10/2023 3:05:53 PM","4/13/2026 6:11:17 AM","The community edition of jsPlumb, versions 1.x - 6.x. This repository no longer receives updates.","angular;charts;diagram;html5;javascript;no-code;svg;typescript;visualization","topic:charts language:JavaScript stars:>=50"
"ro31337/bigoposter","https://github.com/ro31337/bigoposter","ro31337","JavaScript","1659","False","False","7/5/2016 2:19:01 AM","5/1/2026 6:58:25 AM","Big-O Complexities / Poster of common algorithms used in Computer Science","","computer language:JavaScript stars:>=50"
"Slava/label-tool","https://github.com/Slava/label-tool","Slava","JavaScript","352","False","False","3/18/2019 4:33:20 AM","3/4/2026 3:24:00 AM","Web application for image labeling and segmentation","boundingbox;computer-vision;computer-vision-tools;data-labeling;image-annotation;image-label;image-labeling;image-labeling-tool;labelme;machine-learning;segmentation;sematic-segmentation;training-data","topic:computer-vision language:JavaScript stars:>=50"
"graue/gentest","https://github.com/graue/gentest","graue","JavaScript","411","False","False","7/11/2014 8:52:30 PM","8/11/2025 4:38:41 PM","Generative testing for JavaScript. Save time and catch more bugs by letting the computer write test cases for you. WIP","","computer language:JavaScript stars:>=50"
"ModelDepot/tfjs-yolo-tiny","https://github.com/ModelDepot/tfjs-yolo-tiny","ModelDepot","JavaScript","533","False","False","4/7/2018 10:26:55 PM","5/1/2026 11:04:06 PM","In-Browser Object Detection using Tiny YOLO on Tensorflow.js","browser;computer-vision;deep-learning;detection;machine-learning;npm-package;object-detection;tensorflow;tensorflow-js;tfjs;yolo;yolo-models","topic:computer-vision language:JavaScript stars:>=50"
"virgili0/Virgilio","https://github.com/virgili0/Virgilio","virgili0","Jupyter Notebook","14328","False","False","3/12/2019 6:45:36 PM","5/2/2026 9:15:26 AM","Your new Mentor for Data Science E-Learning.","business-intelligence;computer-vision;data-science;datascience;guide;guidelines;hacktoberfest;learning;learning-python;machine-learning;machine-vision;nlp;path;python;scikit-learn;statistics;study;studypath;tensorflow;virgilio","topic:computer-vision stars:>=100"
"genielabs/HomeGenie","https://github.com/genielabs/HomeGenie","genielabs","JavaScript","450","False","False","2/21/2014 10:55:33 PM","4/30/2026 2:57:14 PM","HomeGenie: The Programmable Intelligence with 100% Local Agentic AI.","artificial-intelligence;automation;building-automation;computer-vision;gpio;home-automation;iot;knx;machine-learning;open-source;raspberrypi;self-hosted;smart-home;x10;zigbee;zwave","topic:computer-vision language:JavaScript stars:>=50"
"ScrapingAnt/amazon_scraper","https://github.com/ScrapingAnt/amazon_scraper","ScrapingAnt","JavaScript","87","False","False","5/5/2020 6:11:39 PM","4/8/2026 4:48:04 PM","Amazon products scraper with using of rotating proxies and headless Chrome from ScrapingAnt","amazon;amazon-scraper;amazon-scraping-library;data-mining;js;node-js;price-scraper;price-scraping;scrape-products;scraper;scraping;scraping-api;scraping-data;scraping-python;scraping-web;scraping-websites;web-crawler;web-crawlers;web-crawling","topic:data-mining language:JavaScript stars:>=50"
"qubvel-org/segmentation_models.pytorch","https://github.com/qubvel-org/segmentation_models.pytorch","qubvel-org","Python","11522","False","False","3/1/2019 4:21:21 PM","5/2/2026 4:54:54 PM","Semantic segmentation models with 500+ pretrained convolutional and transformer-based backbones.","computer-vision;deeplab-v3-plus;deeplabv3;dpt;fpn;image-processing;image-segmentation;imagenet;models;pretrained-weights;pspnet;pytorch;segformer;segmentation;segmentation-models;semantic-segmentation;transformers;unet;unet-pytorch;unetplusplus","topic:computer-vision stars:>=100"
"stevenjoezhang/live2d-widget","https://github.com/stevenjoezhang/live2d-widget","stevenjoezhang","JavaScript","10620","False","False","7/11/2018 5:22:00 AM","5/2/2026 10:07:13 AM","把萌萌哒的看板娘抱回家 (ノ≧∇≦)ノ | Live2D widget for web platform","javascript-plugin;live2d","w language:JavaScript stars:>=50"
"antvis/wx-f2","https://github.com/antvis/wx-f2","antvis","JavaScript","1291","False","False","4/12/2018 9:30:12 AM","4/30/2026 4:05:09 PM","F2 的微信小程序","antv;charts;f2;miniprogram;visualization;webchat;wei-xin;weixin","topic:charts language:JavaScript stars:>=50"
"jacobgil/pytorch-grad-cam","https://github.com/jacobgil/pytorch-grad-cam","jacobgil","Python","12788","False","False","5/31/2017 7:55:15 PM","5/2/2026 2:27:16 PM","Advanced AI Explainability for computer vision.  Support for CNNs, Vision Transformers, Classification, Object detection, Segmentation, Image similarity and more.","class-activation-maps;computer-vision;deep-learning;explainable-ai;explainable-ml;grad-cam;image-classification;interpretability;interpretable-ai;interpretable-deep-learning;machine-learning;object-detection;pytorch;score-cam;vision-transformers;visualizations;xai","topic:computer-vision stars:>=100"
"petehunt/webpack-howto","https://github.com/petehunt/webpack-howto","petehunt","JavaScript","10019","False","False","7/17/2014 6:55:48 AM","4/30/2026 9:20:44 AM","","","w language:JavaScript stars:>=50"
"Stremio/stremio-web","https://github.com/Stremio/stremio-web","Stremio","JavaScript","10693","False","False","6/4/2018 12:45:05 PM","5/2/2026 4:27:21 AM","Stremio - Freedom to Stream","hacktoberfest;stremio","w language:JavaScript stars:>=50"
"rainbow-me/react-native-animated-charts","https://github.com/rainbow-me/react-native-animated-charts","rainbow-me","JavaScript","962","False","False","9/14/2020 7:18:48 PM","4/22/2026 4:24:10 AM","Set of components and helpers for building complex and beautifully animated charts","animations;charts;native;react;react-native;reanimated;reanimated2","topic:charts language:JavaScript stars:>=50"
"alan-turing-institute/scivision","https://github.com/alan-turing-institute/scivision","alan-turing-institute","JavaScript","107","False","False","5/13/2021 11:12:52 AM","4/14/2026 2:48:13 PM","scivision: a framework for scientific image analysis","computer-vision;data-science;hut23;hut23-1205;image-processing;machine-learning;scientific-research","topic:computer-vision language:JavaScript stars:>=50"
"poteto/hiring-without-whiteboards","https://github.com/poteto/hiring-without-whiteboards","poteto","JavaScript","50589","False","False","3/15/2017 5:09:01 AM","5/2/2026 3:30:49 PM","⭐️  Companies that don't have a broken hiring process","airtable;hiring;hiring-without-whiteboards;interview;jobs;tech;whiteboard","w language:JavaScript stars:>=50"
"kornia/kornia","https://github.com/kornia/kornia","kornia","Python","11191","False","False","8/22/2018 10:31:37 AM","5/2/2026 9:17:43 AM","🐍 Geometric Computer Vision Library for Spatial AI","artificial-intelligence;computer-vision;deep-learning;hacktoberfest;image-processing;machine-learning;neural-network;python;pytorch;robotics;spatial-ai","topic:computer-vision stars:>=100"
"airbnb/lottie-web","https://github.com/airbnb/lottie-web","airbnb","JavaScript","31825","False","False","2/20/2015 9:02:59 PM","5/2/2026 5:49:53 AM","Render After Effects animations natively on Web, Android and iOS, and React Native. http://airbnb.io/lottie/","","w language:JavaScript stars:>=50"
